date,season,season_type,team,opponent,location,team_total,opp_total,team_q1,opp_q1,team_q2,opp_q2,team_q3,opp_q3,team_q4,opp_q4,ot_count,winner,valid_linescore,espn_url,team_ot1,opp_ot1
2026-01-04T01:00:00+00:00,2026,REG,Charlotte Hornets,Chicago Bulls,AWAY,112,99,27,39,23,19,32,17,30,24,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810344/hornets-bulls,,
2026-01-03T01:00:00+00:00,2026,REG,Charlotte Hornets,Milwaukee Bucks,AWAY,121,122,38,24,22,27,31,36,30,35,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810336/hornets-bucks,,
2025-12-31T18:00:00+00:00,2026,REG,Charlotte Hornets,Golden State Warriors,HOME,125,132,30,30,34,39,36,29,25,34,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810317/warriors-hornets,,
2025-12-30T00:00:00+00:00,2026,REG,Charlotte Hornets,Milwaukee Bucks,HOME,113,123,26,25,40,38,23,32,24,28,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810302/bucks-hornets,,
2025-12-27T00:00:00+00:00,2026,REG,Charlotte Hornets,Orlando Magic,AWAY,120,105,38,28,19,20,39,29,24,28,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810279/hornets-magic,,
2025-12-24T00:00:00+00:00,2026,REG,Charlotte Hornets,Washington Wizards,HOME,126,109,24,31,38,34,30,25,34,19,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810264/wizards-hornets,,
2025-12-23T00:00:00+00:00,2026,REG,Charlotte Hornets,Cleveland Cavaliers,AWAY,132,139,36,33,27,37,32,34,37,35,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810257/hornets-cavaliers,,
2025-12-21T00:30:00+00:00,2026,REG,Charlotte Hornets,Detroit Pistons,AWAY,86,112,27,33,18,22,27,24,14,33,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810245/hornets-pistons,,
2025-12-19T00:00:00+00:00,2026,REG,Charlotte Hornets,Atlanta Hawks,HOME,133,126,37,32,43,37,27,26,26,31,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810226/hawks-hornets,,
2025-12-14T20:30:00+00:00,2026,REG,Charlotte Hornets,Cleveland Cavaliers,AWAY,119,111,33,29,24,18,31,32,23,32,1,TEAM,True,https://www.espn.com/nba/game/_/gameId/401836799/hornets-cavaliers,8,0
2025-12-13T00:00:00+00:00,2026,REG,Charlotte Hornets,Chicago Bulls,HOME,126,129,29,33,32,22,31,34,34,40,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401836750/bulls-hornets,,
2025-12-07T23:00:00+00:00,2026,REG,Charlotte Hornets,Denver Nuggets,HOME,106,115,34,34,24,23,23,30,25,28,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810214/nuggets-hornets,,
2025-12-06T00:30:00+00:00,2026,REG,Charlotte Hornets,Toronto Raptors,AWAY,111,86,18,24,35,18,25,28,33,16,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810199/hornets-raptors,,
