date,season,season_type,team,opponent,location,team_total,opp_total,team_q1,opp_q1,team_q2,opp_q2,team_q3,opp_q3,team_q4,opp_q4,ot_count,winner,valid_linescore,espn_url,team_ot1,team_ot2,opp_ot1,opp_ot2
2026-01-04T01:30:00+00:00,2026,REG,Houston Rockets,Dallas Mavericks,AWAY,104,110,31,25,19,32,25,30,29,23,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810346/rockets-mavericks,,,,
2026-01-01T23:00:00+00:00,2026,REG,Houston Rockets,Brooklyn Nets,AWAY,120,96,26,20,27,22,37,25,30,29,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810326/rockets-nets,,,,
2025-12-30T01:00:00+00:00,2026,REG,Houston Rockets,Indiana Pacers,HOME,126,119,30,25,36,23,39,30,21,41,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810308/pacers-rockets,,,,
2025-12-28T01:00:00+00:00,2026,REG,Houston Rockets,Cleveland Cavaliers,HOME,117,100,32,24,28,22,30,17,27,37,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810293/cavaliers-rockets,,,,
2025-12-26T01:00:00+00:00,2026,REG,Houston Rockets,Los Angeles Lakers,AWAY,119,96,37,25,26,28,29,21,27,22,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401809241/rockets-lakers,,,,
2025-12-24T03:30:00+00:00,2026,REG,Houston Rockets,LA Clippers,AWAY,108,128,35,29,23,34,24,35,26,30,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810277/rockets-clippers,,,,
2025-12-22T03:00:00+00:00,2026,REG,Houston Rockets,Sacramento Kings,AWAY,124,125,31,30,37,27,23,25,21,30,1,OPP,True,https://www.espn.com/nba/game/_/gameId/401810256/rockets-kings,12,,13,
2025-12-20T22:00:00+00:00,2026,REG,Houston Rockets,Denver Nuggets,AWAY,115,101,26,29,27,16,29,21,33,35,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810241/rockets-nuggets,,,,
2025-12-19T01:00:00+00:00,2026,REG,Houston Rockets,New Orleans Pelicans,AWAY,128,133,33,24,34,21,32,38,20,36,1,OPP,True,https://www.espn.com/nba/game/_/gameId/401810230/rockets-pelicans,9,,14,
2025-12-16T02:30:00+00:00,2026,REG,Houston Rockets,Denver Nuggets,AWAY,125,128,30,24,21,34,35,31,31,28,1,OPP,True,https://www.espn.com/nba/game/_/gameId/401836806/rockets-nuggets,8,,11,
2025-12-12T01:00:00+00:00,2026,REG,Houston Rockets,LA Clippers,HOME,115,113,29,29,22,25,29,28,35,31,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401836746/clippers-rockets,,,,
2025-12-07T01:30:00+00:00,2026,REG,Houston Rockets,Dallas Mavericks,AWAY,109,122,26,29,31,28,20,37,32,28,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810211/rockets-mavericks,,,,
2025-12-06T01:00:00+00:00,2026,REG,Houston Rockets,Phoenix Suns,HOME,117,98,24,31,44,27,29,14,20,26,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810201/suns-rockets,,,,
2025-12-04T01:00:00+00:00,2026,REG,Houston Rockets,Sacramento Kings,HOME,121,95,28,26,23,26,36,19,34,24,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810185/kings-rockets,,,,
