date,season,season_type,team,opponent,location,team_total,opp_total,team_q1,opp_q1,team_q2,opp_q2,team_q3,opp_q3,team_q4,opp_q4,ot_count,winner,valid_linescore,espn_url,team_ot1,opp_ot1
2026-01-03T02:00:00+00:00,2026,REG,Phoenix Suns,Sacramento Kings,HOME,129,102,32,29,30,27,35,27,32,19,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810338/kings-suns,,
2025-12-31T20:30:00+00:00,2026,REG,Phoenix Suns,Cleveland Cavaliers,AWAY,113,129,21,37,33,30,35,29,24,33,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810320/suns-cavaliers,,
2025-12-30T00:00:00+00:00,2026,REG,Phoenix Suns,Washington Wizards,AWAY,115,101,22,23,39,31,26,25,28,22,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810303/suns-wizards,,
2025-12-28T00:00:00+00:00,2026,REG,Phoenix Suns,New Orleans Pelicans,AWAY,123,114,32,33,33,22,28,30,30,29,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810289/suns-pelicans,,
2025-12-27T01:00:00+00:00,2026,REG,Phoenix Suns,New Orleans Pelicans,AWAY,115,108,26,23,27,25,28,32,34,28,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810284/suns-pelicans,,
2025-12-24T02:00:00+00:00,2026,REG,Phoenix Suns,Los Angeles Lakers,HOME,132,108,29,26,38,31,45,29,20,22,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810273/lakers-suns,,
2025-12-21T01:30:00+00:00,2026,REG,Phoenix Suns,Golden State Warriors,AWAY,116,119,44,32,23,32,20,29,29,26,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810247/suns-warriors,,
2025-12-19T02:00:00+00:00,2026,REG,Phoenix Suns,Golden State Warriors,HOME,99,98,26,29,20,24,24,18,29,27,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810233/warriors-suns,,
2025-12-15T01:00:00+00:00,2026,REG,Phoenix Suns,Los Angeles Lakers,HOME,114,116,36,31,26,31,15,24,37,30,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401839699/lakers-suns,,
2025-12-11T00:30:00+00:00,2026,REG,Phoenix Suns,Oklahoma City Thunder,AWAY,89,138,23,38,25,36,24,36,17,28,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401809835/suns-thunder,,
2025-12-09T00:30:00+00:00,2026,REG,Phoenix Suns,Minnesota Timberwolves,AWAY,108,105,29,23,32,34,23,27,24,21,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810220/suns-timberwolves,,
2025-12-06T01:00:00+00:00,2026,REG,Phoenix Suns,Houston Rockets,AWAY,98,117,31,24,27,44,14,29,26,20,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810201/suns-rockets,,
2025-12-02T03:00:00+00:00,2026,REG,Phoenix Suns,Los Angeles Lakers,AWAY,125,108,31,31,35,21,30,25,29,31,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810172/suns-lakers,,
2025-11-30T02:00:00+00:00,2026,REG,Phoenix Suns,Denver Nuggets,HOME,112,130,25,30,35,33,25,33,27,34,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810154/nuggets-suns,,
2025-11-29T02:30:00+00:00,2026,REG,Phoenix Suns,Oklahoma City Thunder,AWAY,119,123,25,25,27,31,30,38,37,29,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401809817/suns-thunder,,
2025-11-27T03:00:00+00:00,2026,REG,Phoenix Suns,Sacramento Kings,AWAY,112,100,41,16,26,29,16,28,29,27,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401809810/suns-kings,,
2025-11-25T02:30:00+00:00,2026,REG,Phoenix Suns,Houston Rockets,HOME,92,114,23,30,27,29,25,25,17,30,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810145/rockets-suns,,
2025-11-24T01:00:00+00:00,2026,REG,Phoenix Suns,San Antonio Spurs,HOME,111,102,25,30,24,26,37,24,25,22,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810136/spurs-suns,,
2025-11-22T02:00:00+00:00,2026,REG,Phoenix Suns,Minnesota Timberwolves,HOME,114,113,32,24,30,25,19,33,33,31,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401809795/timberwolves-suns,,
2025-11-19T04:00:00+00:00,2026,REG,Phoenix Suns,Portland Trail Blazers,AWAY,127,110,35,32,29,29,36,21,27,28,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810109/suns-trail-blazers,,
2025-11-17T01:00:00+00:00,2026,REG,Phoenix Suns,Atlanta Hawks,HOME,122,124,21,25,37,32,37,20,27,47,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810094/hawks-suns,,
2025-11-14T02:00:00+00:00,2026,REG,Phoenix Suns,Indiana Pacers,HOME,133,98,31,23,39,29,36,32,27,14,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810081/pacers-suns,,
2025-11-13T01:30:00+00:00,2026,REG,Phoenix Suns,Dallas Mavericks,AWAY,123,114,30,28,33,25,32,28,28,33,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810076/suns-mavericks,,
2025-11-11T02:00:00+00:00,2026,REG,Phoenix Suns,New Orleans Pelicans,HOME,121,98,29,22,35,19,32,31,25,26,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810059/pelicans-suns,,
2025-11-09T03:30:00+00:00,2026,REG,Phoenix Suns,LA Clippers,AWAY,114,103,35,29,25,17,25,34,29,23,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810045/suns-clippers,,
2025-11-07T02:00:00+00:00,2026,REG,Phoenix Suns,LA Clippers,HOME,115,102,31,27,17,24,40,23,27,28,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810037/clippers-suns,,
2025-11-05T03:00:00+00:00,2026,REG,Phoenix Suns,Golden State Warriors,AWAY,107,118,19,33,30,35,34,24,24,26,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810024/suns-warriors,,
2025-11-03T01:00:00+00:00,2026,REG,Phoenix Suns,San Antonio Spurs,HOME,130,118,31,24,39,28,32,26,28,40,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810009/spurs-suns,,
2025-11-01T02:00:00+00:00,2026,REG,Phoenix Suns,Utah Jazz,HOME,118,96,37,17,17,23,29,27,35,29,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401809507/jazz-suns,,
2025-10-30T02:00:00+00:00,2026,REG,Phoenix Suns,Memphis Grizzlies,HOME,113,114,26,27,27,22,25,32,35,33,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401809992/grizzlies-suns,,
2025-10-28T01:00:00+00:00,2026,REG,Phoenix Suns,Utah Jazz,AWAY,134,138,27,39,34,25,25,30,38,30,1,OPP,True,https://www.espn.com/nba/game/_/gameId/401809975/suns-jazz,10,14
2025-10-26T01:00:00+00:00,2026,REG,Phoenix Suns,Denver Nuggets,AWAY,111,133,28,34,26,37,29,29,28,33,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401809959/suns-nuggets,,
2025-10-25T02:30:00+00:00,2026,REG,Phoenix Suns,LA Clippers,AWAY,102,129,33,34,23,38,21,34,25,23,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401809954/suns-clippers,,
2025-10-23T02:00:00+00:00,2026,REG,Phoenix Suns,Sacramento Kings,HOME,120,116,19,29,35,42,36,21,30,24,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401809941/kings-suns,,
2025-04-13T19:30:00+00:00,2025,REG,Phoenix Suns,Sacramento Kings,AWAY,98,109,25,33,29,24,21,29,23,23,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705766/suns-kings,,
2025-04-12T02:00:00+00:00,2025,REG,Phoenix Suns,San Antonio Spurs,HOME,117,98,28,33,25,14,39,17,25,34,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705748/spurs-suns,,
2025-04-10T02:00:00+00:00,2025,REG,Phoenix Suns,Oklahoma City Thunder,HOME,112,125,39,29,28,33,26,43,19,20,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705730/thunder-suns,,
2025-04-09T02:00:00+00:00,2025,REG,Phoenix Suns,Golden State Warriors,HOME,95,133,24,37,19,32,18,26,34,38,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705720/warriors-suns,,
2025-04-06T23:00:00+00:00,2025,REG,Phoenix Suns,New York Knicks,AWAY,98,112,23,27,20,26,27,34,28,25,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705706/suns-knicks,,
2025-04-04T23:30:00+00:00,2025,REG,Phoenix Suns,Boston Celtics,AWAY,103,123,22,31,25,29,28,30,28,33,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705686/suns-celtics,,
2025-04-01T23:30:00+00:00,2025,REG,Phoenix Suns,Milwaukee Bucks,AWAY,123,133,19,31,38,29,26,35,40,38,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705667/suns-bucks,,
2025-03-31T01:00:00+00:00,2025,REG,Phoenix Suns,Houston Rockets,HOME,109,148,24,32,25,46,24,34,36,36,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705654/rockets-suns,,
2025-03-29T00:00:00+00:00,2025,REG,Phoenix Suns,Minnesota Timberwolves,AWAY,109,124,21,27,24,30,30,35,34,32,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705637/suns-timberwolves,,
2025-03-27T02:00:00+00:00,2025,REG,Phoenix Suns,Boston Celtics,HOME,102,132,38,42,16,31,27,35,21,24,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705624/celtics-suns,,
2025-03-25T02:00:00+00:00,2025,REG,Phoenix Suns,Milwaukee Bucks,HOME,108,106,25,30,29,28,27,20,27,28,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705609/bucks-suns,,
2025-03-22T02:00:00+00:00,2025,REG,Phoenix Suns,Cleveland Cavaliers,HOME,123,112,35,34,27,17,36,28,25,33,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705587/cavaliers-suns,,
2025-03-20T02:00:00+00:00,2025,REG,Phoenix Suns,Chicago Bulls,HOME,127,121,31,22,32,29,36,33,28,37,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705573/bulls-suns,,
2025-03-18T02:00:00+00:00,2025,REG,Phoenix Suns,Toronto Raptors,HOME,129,89,24,29,39,11,30,24,36,25,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705557/raptors-suns,,
2025-03-16T19:30:00+00:00,2025,REG,Phoenix Suns,Los Angeles Lakers,AWAY,96,107,15,31,22,23,34,29,25,24,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705543/suns-lakers,,
2025-03-15T02:00:00+00:00,2025,REG,Phoenix Suns,Sacramento Kings,HOME,122,106,36,22,26,35,35,25,25,24,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705533/kings-suns,,
2025-03-13T00:00:00+00:00,2025,REG,Phoenix Suns,Houston Rockets,AWAY,104,111,27,32,25,25,27,31,25,23,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705515/suns-rockets,,
